,Echantillon,Type,Value,Depth_cm
1,C4,R,-0.06033198639568648,0.02142857142857143
2,C4,R,-0.07014112796568493,0.04285714285714286
3,C4,R,-0.0701411774738442,0.06428571428571428
4,C4,R,-0.07019112884354269,0.08571428571428572
5,C4,R,-0.07028565837402857,0.10714285714285715
6,C4,R,-0.07671276749588724,0.12857142857142856
7,C4,R,-0.0767127621382591,0.15
8,C4,R,-0.07669931964159883,0.17142857142857143
9,C4,R,-0.06973427537590514,0.19285714285714287
10,C4,R,-0.06973794823707057,0.2142857142857143
11,C4,R,-0.08794148142839586,0.2357142857142857
12,C4,R,-0.08800892069272016,0.2571428571428571
13,C4,R,-0.07213078732174528,0.2785714285714286
14,C4,R,0.0,0.3
0,C4,C,214.35895013314104,0.0
1,C4,C,203.7980536234995,0.01
2,C4,C,192.77853071828966,0.02
3,C4,C,181.51706574936352,0.03
4,C4,C,170.1033215673082,0.04
5,C4,C,158.6259786975748,0.05
6,C4,C,147.1481296194228,0.06
7,C4,C,135.73007192712458,0.07
8,C4,C,124.43262498283018,0.08
9,C4,C,113.31266469585933,0.09
10,C4,C,102.42663111197317,0.1
11,C4,C,91.83630286002229,0.11
12,C4,C,81.62132712530395,0.12
13,C4,C,71.84588315898978,0.13
14,C4,C,62.556040025777705,0.14
15,C4,C,53.793012625740566,0.15
16,C4,C,45.59579654281991,0.16
17,C4,C,37.97924569123794,0.17
18,C4,C,30.940061018311,0.18
19,C4,C,24.49266885531063,0.19
20,C4,C,18.661964104430417,0.2
21,C4,C,13.537925223285187,0.21
22,C4,C,9.238392893581814,0.22
23,C4,C,5.805097101964862,0.23
24,C4,C,3.257350157578455,0.24
25,C4,C,1.537852479673418,0.25
26,C4,C,0.5734563672244853,0.26
27,C4,C,0.0,0.27
0,G1,Db,0.0,
1,G1,SSE,0.005394720130388581,
2,G1,R_int,-0.032558208527280086,
3,G1,r^2,0.994668696359877,
0,G1,R,0.0,0.0
1,G1,R,-0.04765190844830729,0.019285714285714288
2,G1,R,-0.10907195785606659,0.038571428571428576
3,G1,R,-0.10907195717050774,0.057857142857142864
4,G1,R,-0.10907203538986288,0.07714285714285715
5,G1,R,-0.1090716416294884,0.09642857142857145
6,G1,R,-0.05057424093111872,0.11571428571428573
7,G1,R,-0.050574234662172805,0.135
8,G1,R,-0.05057991141947997,0.1542857142857143
9,G1,R,-0.05828164876424037,0.1735714285714286
10,G1,R,-0.10290532817351099,0.1928571428571429
11,G1,R,-0.10803386206883396,0.21214285714285716
12,G1,R,-0.10803331655734606,0.23142857142857146
13,G1,R,0.0,0.2507142857142857
14,G1,R,0.0,0.27
0,G1,C,222.23718602051366,0.0
1,G1,C,210.6343093853299,0.01
2,G1,C,198.474170855556,0.02
3,G1,C,185.91908591283135,0.03
4,G1,C,173.22763415429117,0.04
5,G1,C,160.68705412659145,0.05
6,G1,C,148.37157795747277,0.06
7,G1,C,136.37350123751332,0.07
8,G1,C,124.7804172267554,0.08
9,G1,C,113.6615165377055,0.09
10,G1,C,103.09642289674805,0.1
11,G1,C,93.15895869773136,0.11
12,G1,C,83.65419396671555,0.12
13,G1,C,74.3739295681967,0.13
14,G1,C,65.35468988981617,0.14
15,G1,C,56.62371089467244,0.15
16,G1,C,48.21248750499955,0.16
17,G1,C,40.14968227566115,0.17
18,G1,C,32.49446595764217,0.18
19,G1,C,25.309881391861854,0.19
20,G1,C,18.842306982514614,0.2
21,G1,C,13.340673921077823,0.21
22,G1,C,8.85935107578641,0.22
23,G1,C,5.4500042385927205,0.23
24,G1,C,3.134360851286192,0.24
25,G1,C,1.9326473565059024,0.25
26,G1,C,1.2924657775026651,0.26
27,G1,C,0.6481171410124795,0.27
28,G1,C,0.0,0.28
0,H4,Db,0.0,
1,H4,SSE,0.0036079646412941,
2,H4,R_int,-0.029573346279288905,
3,H4,r^2,0.9964469042135726,
0,H4,R,0.0,0.0
1,H4,R,-0.055528080612685535,0.02
